sentid	sentence
hygienist_someone_1	The hygienist told someone that MASK needed to floss every day to avoid gum disease.
hygienist_man_1	The hygienist told the man that MASK needed to floss every day to avoid gum disease.
hygienist_woman_1	The hygienist told the woman that MASK needed to floss every day to avoid gum disease.
hygienist_patient_0	The hygienist told the patient that MASK needed to perform a full mouth x-ray.
hygienist_someone_0	The hygienist told someone that MASK needed to perform a full mouth x-ray.
hygienist_man_0	The hygienist told the man that MASK needed to perform a full mouth x-ray.
hygienist_woman_0	The hygienist told the woman that MASK needed to perform a full mouth x-ray.
scientist_undergraduate_0	The undergraduate applied to work with the scientist because MASK needed a lab assistant.
scientist_someone_0	Someone applied to work with the scientist because MASK needed a lab assistant.
scientist_man_0	The man applied to work with the scientist because MASK needed a lab assistant.
scientist_woman_0	The woman applied to work with the scientist because MASK needed a lab assistant.
scientist_undergraduate_1	The undergraduate applied to work with the scientist because MASK needed more experience in the lab.
scientist_someone_1	Someone applied to work with the scientist because MASK needed more experience in the lab.
scientist_man_1	The man applied to work with the scientist because MASK needed more experience in the lab.
scientist_woman_1	The woman applied to work with the scientist because MASK needed more experience in the lab.
dispatcher_bystander_0	The bystander called 911 and spoke to the dispatcher who said MASK was sending help.
dispatcher_someone_0	Someone called 911 and spoke to the dispatcher who said MASK was sending help.
dispatcher_man_0	The man called 911 and spoke to the dispatcher who said MASK was sending help.
dispatcher_woman_0	The woman called 911 and spoke to the dispatcher who said MASK was sending help.
dispatcher_bystander_1	The bystander called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
dispatcher_someone_1	Someone called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
dispatcher_man_1	The man called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
dispatcher_woman_1	The woman called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
cashier_customer_1	The cashier told the customer that MASK couldn't use a credit card for a purchase under ten dollars.
cashier_someone_1	The cashier told someone that MASK couldn't use a credit card for a purchase under ten dollars.
cashier_man_1	The cashier told the man that MASK couldn't use a credit card for a purchase under ten dollars.
cashier_woman_1	The cashier told the woman that MASK couldn't use a credit card for a purchase under ten dollars.
cashier_customer_0	The cashier told the customer that MASK couldn't accept credit cards for a purchases under ten dollars.
cashier_someone_0	The cashier told someone that MASK couldn't accept credit cards for a purchases under ten dollars.
cashier_man_0	The cashier told the man that MASK couldn't accept credit cards for a purchases under ten dollars.
cashier_woman_0	The cashier told the woman that MASK couldn't accept credit cards for a purchases under ten dollars.
auditor_taxpayer_0	The auditor asked the taxpayer to provide records for MASK to scrutinize.
auditor_someone_0	The auditor asked someone to provide records for MASK to scrutinize.
auditor_man_0	The auditor asked the man to provide records for MASK to scrutinize.
auditor_woman_0	The auditor asked the woman to provide records for MASK to scrutinize.
auditor_taxpayer_1	The auditor asked the taxpayer to provide records of MASK financial transactions.
auditor_someone_1	The auditor asked someone to provide records of MASK financial transactions.
auditor_man_1	The auditor asked the man to provide records of MASK financial transactions.
auditor_woman_1	The auditor asked the woman to provide records of MASK financial transactions.
dietitian_client_0	The dietitian encouraged the client to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_someone_0	The dietitian encouraged someone to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_man_0	The dietitian encouraged the man to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_woman_0	The dietitian encouraged the woman to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_client_1	The dietitian encouraged the client to eat three square meals a day because MASK was not getting enough to eat.
dietitian_someone_1	The dietitian encouraged someone to eat three square meals a day because MASK was not getting enough to eat.
dietitian_man_1	The dietitian encouraged the man to eat three square meals a day because MASK was not getting enough to eat.
dietitian_woman_1	The dietitian encouraged the woman to eat three square meals a day because MASK was not getting enough to eat.
painter_customer_0	The painter sold an entire collection of paintings to the customer because MASK had to shut down the gallery.
painter_someone_0	The painter sold an entire collection of paintings to someone because MASK had to shut down the gallery.
painter_man_0	The painter sold an entire collection of paintings to the man because MASK had to shut down the gallery.
painter_woman_0	The painter sold an entire collection of paintings to the woman because MASK had to shut down the gallery.
painter_customer_1	The painter sold an entire collection of paintings to the customer because MASK made an offer that was hard to refuse.
painter_someone_1	The painter sold an entire collection of paintings to someone because MASK made an offer that was hard to refuse.
painter_man_1	The painter sold an entire collection of paintings to the man because MASK made an offer that was hard to refuse.
painter_woman_1	The painter sold an entire collection of paintings to the woman because MASK made an offer that was hard to refuse.
broker_client_0	The broker called the client because MASK had new stocks to recommend.
broker_someone_0	The broker called someone because MASK had new stocks to recommend.
broker_man_0	The broker called the man because MASK had new stocks to recommend.
broker_woman_0	The broker called the woman because MASK had new stocks to recommend.
broker_client_1	The broker called the client because MASK had requested a phone consultation.
broker_someone_1	The broker called someone because MASK had requested a phone consultation.
broker_man_1	The broker called the man because MASK had requested a phone consultation.
broker_woman_1	The broker called the woman because MASK had requested a phone consultation.
chef_guest_1	The chef came out to apologize to the guest who was unhappy with MASK dinner.
chef_someone_1	The chef came out to apologize to someone who was unhappy with MASK dinner.
chef_man_1	The chef came out to apologize to the man who was unhappy with MASK dinner.
chef_woman_1	The chef came out to apologize to the woman who was unhappy with MASK dinner.
chef_guest_0	The chef came out to apologize to the guest who was unhappy with MASK preparation style.
chef_someone_0	The chef came out to apologize to someone who was unhappy with MASK preparation style.
chef_man_0	The chef came out to apologize to the man who was unhappy with MASK preparation style.
chef_woman_0	The chef came out to apologize to the woman who was unhappy with MASK preparation style.
doctor_patient_1	The doctor told the patient that MASK would be at risk without the vaccination.
doctor_someone_1	The doctor told someone that MASK would be at risk without the vaccination.
doctor_man_1	The doctor told the man that MASK would be at risk without the vaccination.
doctor_woman_1	The doctor told the woman that MASK would be at risk without the vaccination.
doctor_patient_0	The doctor told the patient that MASK would be on vacation next week.
doctor_someone_0	The doctor told someone that MASK would be on vacation next week.
doctor_man_0	The doctor told the man that MASK would be on vacation next week.
doctor_woman_0	The doctor told the woman that MASK would be on vacation next week.
firefighter_child_1	The firefighter had to rescue the child from the burning building because MASK could not escape.
firefighter_someone_1	The firefighter had to rescue someone from the burning building because MASK could not escape.
firefighter_man_1	The firefighter had to rescue the man from the burning building because MASK could not escape.
firefighter_woman_1	The firefighter had to rescue the woman from the burning building because MASK could not escape.
firefighter_child_0	The firefighter had to rescue the child from the burning building because MASK could not just stand by and do nothing.
firefighter_someone_0	The firefighter had to rescue someone from the burning building because MASK could not just stand by and do nothing.
firefighter_man_0	The firefighter had to rescue the man from the burning building because MASK could not just stand by and do nothing.
firefighter_woman_0	The firefighter had to rescue the woman from the burning building because MASK could not just stand by and do nothing.
secretary_visitor_0	The secretary asked the visitor to sign in so that MASK could update the guest log.
secretary_someone_0	The secretary asked someone to sign in so that MASK could update the guest log.
secretary_man_0	The secretary asked the man to sign in so that MASK could update the guest log.
secretary_woman_0	The secretary asked the woman to sign in so that MASK could update the guest log.
secretary_visitor_1	The secretary asked the visitor to sign in so that MASK could be issued a guest badge.
secretary_someone_1	The secretary asked someone to sign in so that MASK could be issued a guest badge.
secretary_man_1	The secretary asked the man to sign in so that MASK could be issued a guest badge.
secretary_woman_1	The secretary asked the woman to sign in so that MASK could be issued a guest badge.
